borrower_id,email,join_date,credit_tier
brw_fe8404d31a66,borrowerdcaae741@example.net,2025-04-24,Fair
brw_b5ffd52f58f1,borrower0deb3313@example.net,2025-07-01,Fair
brw_3f227f335efd,borrowera05d8378@example.net,2026-06-27,Excellent
brw_03770812c88b,borrower35d080b9@example.net,2026-04-24,Poor
brw_330681bc60b0,borrower3a695f30@example.net,2025-08-01,Poor
brw_d4440b946823,borrower283c34fd@example.net,2025-04-30,Good
brw_9c9ca45321c2,borrower61b20526@example.net,2026-05-18,Excellent
brw_1e3fc9a8e197,borrower26c3d726@example.net,2025-08-13,Poor
brw_1d05a92d4785,borrowerddae396b@example.net,2026-03-12,Fair
brw_504f357e7e7b,borrower2a8e3eac@example.net,2026-06-25,Poor
brw_6c3b668c6ef3,borrowerfbd4bbae@example.net,2025-06-04,Poor
brw_91f27fc888ff,borrowera957803e@example.net,2025-07-21,Poor
brw_20499cab1ff5,borrowerc066c22a@example.net,2026-08-18,Fair
brw_37e75ec8a4bc,borrowerfd2a5397@example.net,2026-04-14,Poor
brw_1cc1968a6927,borrowerbbb5d3fe@example.net,2025-07-28,Poor
brw_1bd6fa83dea3,borrower9c5b6519@example.net,2025-07-21,Good
brw_446d24864dec,borrowerb28a09eb@example.net,2025-08-08,Excellent
brw_39fcc0edff36,borrower6b322211@example.net,2025-05-28,Poor
brw_953aa59961c3,borrower0af46671@example.net,2026-05-29,Fair
brw_3269831b5d22,borrowerae91ca38@example.net,2026-02-15,Good
brw_f9a257afd21f,borrower6536477a@example.net,2025-08-02,Good
brw_c51c7ba08db6,borrower86ea597b@example.net,2026-08-18,Good
brw_5827d4454be7,borrower1071b9e8@example.net,2026-04-16,Poor
brw_e8e5923e7ccc,borrower35990eed@example.net,2025-01-25,Good
brw_a431b55b52d0,borrower7ebcc589@example.net,2025-11-12,Good
brw_bc578446015a,borrower7fa44ffb@example.net,2024-12-25,Fair
brw_208ffcced090,borrowerbf6d9ec9@example.net,2025-03-11,Excellent
brw_b71cb565c7e6,borrower06774efd@example.net,2025-01-18,Good
brw_9615cb46c703,borrower738a5216@example.net,2025-02-02,Good
brw_6462b2a21d22,borrower42cdfb61@example.net,2026-07-12,Good
brw_a4607c40efd1,borrower6f0c10c5@example.net,2025-09-19,Good
brw_27699ef972de,borrowerff6f49c9@example.net,2025-12-02,Fair
brw_42eeda6fe6ef,borrower92877955@example.net,2026-03-22,Fair
brw_7e28ea2aaaa2,borrowera29b76f5@example.net,2026-05-16,Fair
brw_4046b6892c9c,borrowerc337da85@example.net,2026-09-11,Poor
brw_5290484f68ac,borrowere9013d19@example.net,2026-01-08,Fair
brw_a8de4d54f209,borrower5c7e71fd@example.net,2025-09-10,Fair
brw_df39bce517c9,borrowerad901ce4@example.net,2026-03-31,Excellent
brw_059134c31d36,borrower42922a56@example.net,2025-10-30,Good
brw_fc4fc7822591,borrower3159468d@example.net,2026-04-22,Fair
brw_ab0d98e5c385,borroweraf248822@example.net,2025-09-25,Good
brw_5ac0f357b02b,borrower194e4835@example.net,2026-04-24,Good
brw_173118c9e1a6,borrowerc6b0500f@example.net,2026-03-14,Good
brw_679293987f44,borrowerbe50326b@example.net,2026-07-05,Good
brw_89cface59334,borrowerd5439794@example.net,2025-03-09,Fair
brw_3f11c67afba3,borrower6f30fdc7@example.net,2025-04-26,Fair
brw_b0b164e1726d,borrower03839e98@example.net,2026-04-27,Fair
brw_9194607fb37a,borrower004c9c36@example.net,2026-09-15,Good
brw_7e5bc678a78a,borrower81ebf2c5@example.net,2026-03-02,Fair
brw_979b291ee78e,borrowerce725c54@example.net,2025-11-04,Good
brw_6dabf6aaaffa,borrower7d6f5db3@example.net,2026-02-24,Good
brw_6274321f5d06,borrower256c5ffc@example.net,2026-02-09,Poor
brw_84cf5f32a71b,borrowere0e267c6@example.net,2025-08-01,Good
brw_bb28edcb1b78,borrower6bad9dd1@example.net,2026-07-21,Fair
brw_5b09b9e805b8,borrower73ba0672@example.net,2025-11-17,Good
brw_4f2afca08781,borrower0f8512ec@example.net,2025-07-15,Fair
brw_637be3393829,borrower158574f1@example.net,2025-10-25,Good
brw_e55c9aeff289,borrower15821dc6@example.net,2026-06-07,Excellent
brw_dde55b98cdc5,borrowerddd82bc6@example.net,2026-05-20,Good
brw_086c46fe0dd6,borrower4d7fadbc@example.net,2025-06-18,Excellent
brw_5ac657cb05e7,borrower5a52df5b@example.net,2026-03-09,Fair
brw_10e36db311b6,borrowerb6a6a285@example.net,2026-06-09,Fair
brw_b131801c187c,borrower716d72e6@example.net,2026-01-30,Good
brw_c9a0d0c9cb9b,borrower1b21218d@example.net,2025-11-04,Excellent
brw_2f914377091b,borrowerd86f9312@example.net,2025-09-04,Fair
brw_7f603e3ff711,borrowere5f36df1@example.net,2026-07-13,Good
brw_381b7753431b,borrowerbb131119@example.net,2026-06-16,Poor
brw_744665d749a0,borrowerad2bcb29@example.net,2026-01-18,Excellent
brw_ca556168c35c,borrower12051a6e@example.net,2026-05-18,Fair
brw_05630a35dab6,borrower8992372a@example.net,2026-02-17,Fair
brw_a3b8abb01228,borrowerbac27292@example.net,2025-10-28,Poor
brw_5635db6b338f,borrower4efe972b@example.net,2025-12-08,Poor
brw_56a107e9e9c8,borrower90ca5342@example.net,2025-05-08,Fair
brw_099f64786c57,borrower44595754@example.net,2025-09-25,Fair
brw_47fb9aaefa76,borrower5afc34e7@example.net,2025-07-04,Fair
brw_adf5bafb49cb,borrower00a8a397@example.net,2025-05-02,Fair
brw_f5a578c1849e,borrower6648076c@example.net,2026-02-08,Good
brw_426a6a523abe,borrower5754ebf7@example.net,2026-05-19,Fair
brw_cbef3d53707c,borrower49f1e7b3@example.net,2025-08-24,Fair
brw_ad8d216c17b5,borrowerf343c2c7@example.net,2025-11-21,Good
brw_4cfdacf918ac,borrowere807c8e6@example.net,2026-07-23,Good
brw_d25685298fa0,borrowerca87588b@example.net,2026-05-09,Good
brw_9fd7d62083b0,borrowerf1ad81f8@example.net,2026-01-07,Excellent
brw_0cb9bb659652,borrower02373a2f@example.net,2026-05-26,Fair
brw_0ea0db61e9f7,borrowerb88a93da@example.net,2025-10-03,Excellent
brw_5c170e297105,borrower1e90472d@example.net,2026-03-12,Fair
brw_496e206fc593,borrower36d8818a@example.net,2026-03-08,Good
brw_7cbaa70a48f9,borrowerb6a66c61@example.net,2026-03-06,Poor
brw_686ae88db47c,borrowerd21d815c@example.net,2025-12-15,Fair
brw_70968f2cee91,borrowercf6df2ff@example.net,2025-06-11,Fair
brw_376ec097f70c,borrower41c951f1@example.net,2026-03-24,Excellent
brw_68eb90711621,borrowere5de9596@example.net,2026-04-06,Fair
brw_e342f156c39e,borrower6eefb15b@example.net,2025-06-14,Poor
brw_1bec4cf7c347,borrower0f8e5878@example.net,2026-03-07,Fair
brw_49b206a03026,borrower6d5d3e29@example.net,2026-01-04,Fair
brw_16e1af7cc4ed,borrower805b37bd@example.net,2026-05-30,Good
brw_55b6b5437ca1,borrower397be8f5@example.net,2026-02-27,Excellent
brw_819025a1e999,borrower039a2288@example.net,2026-04-12,Fair
brw_92e49df3b848,borrowerccbdecd2@example.net,2026-03-13,Good
brw_a27056fab7a0,borrower855727a9@example.net,2026-02-12,Excellent
brw_3e27fa771422,borrower249b3fec@example.net,2025-11-23,Excellent
brw_9460853b2cc4,borrower46d5e206@example.net,2026-03-18,Fair
brw_2e2ddea860ab,borrowerb891f654@example.net,2026-08-16,Fair
brw_ac97d5bf8e7a,borrowerc190277b@example.net,2026-07-02,Good
brw_5d724cb0b9a9,borrower0b99db0c@example.net,2026-08-04,Good
brw_baafc71bc0ba,borrower7da61537@example.net,2026-06-02,Good
brw_afe80bb116a6,borrower97471a1e@example.net,2025-08-27,Good
brw_dec34408805c,borrowere52b1387@example.net,2025-09-03,Fair
brw_c3aeccd4db1e,borrowerb293bdf1@example.net,2026-05-17,Excellent
brw_9174a3d870bc,borrower625419e3@example.net,2026-08-21,Fair
brw_2388f2ee2b68,borrowerd8ab1819@example.net,2024-09-26,Good
brw_66ebd6d20b97,borrower3cff914a@example.net,2025-11-07,Fair
brw_241e2c3a8bdf,borrower5171e958@example.net,2025-11-06,Fair
brw_34770d4741b1,borrower75c39425@example.net,2025-02-23,Good
brw_d5503d90d724,borrowerdf6dce9a@example.net,2026-08-21,Good
brw_75faa4781506,borrower8d9f9b56@example.net,2026-07-05,Fair
brw_27e5750eaf61,borrower260938e1@example.net,2025-12-25,Good
brw_003712a6c72a,borrowerad78f087@example.net,2025-10-08,Fair
brw_da52f37e5049,borrowerd77d9246@example.net,2026-06-19,Fair
brw_7671dbf3a4f2,borrower1f554823@example.net,2025-09-06,Excellent
brw_f0e3cdf91f6c,borrower86ab6651@example.net,2025-07-14,Poor
brw_480de4e81ec9,borrower496e1066@example.net,2026-07-12,Excellent
brw_fcd604c10197,borrower67aaeae2@example.net,2026-04-23,Fair
brw_2d08a4e353d6,borrower330e2e18@example.net,2025-02-10,Good
brw_a5dbe04376c0,borrowerd5ac8e49@example.net,2025-09-28,Excellent
brw_b9274b1a08bf,borrower6817d520@example.net,2025-10-13,Fair
brw_c299d404faeb,borrower1c15d3ea@example.net,2026-07-14,Fair
brw_04eb4b6050bb,borrower85fe629e@example.net,2025-06-17,Fair
brw_15690bcf1d11,borrower286b41f3@example.net,2026-07-07,Poor
brw_1562bb991edf,borrowerfea40465@example.net,2025-08-12,Good
brw_c69ed31ff87b,borrower373de675@example.net,2026-03-02,Good
brw_6a406105f5d0,borrowerad74298c@example.net,2026-01-24,Good
brw_a85be1be13ca,borrower462414db@example.net,2025-06-18,Fair
brw_10610b6a3608,borrowerb1d4e853@example.net,2026-07-13,Poor
brw_22e24410421e,borrowerf4c89d8d@example.net,2025-11-16,Fair
brw_2b649ba195e2,borrower63c9c95a@example.net,2025-10-03,Good
brw_d1d4f709e167,borrowerc005d756@example.net,2025-09-15,Poor
brw_c45ebe1eac5b,borrowerc9f0ba1d@example.net,2026-05-10,Fair
brw_2133ecbe5bd9,borrower3df574ea@example.net,2026-01-08,Good
brw_bd2ce61fadcc,borrowerb1913263@example.net,2026-02-27,Fair
brw_e200f3a60ef7,borrowera38d97f7@example.net,2026-05-11,Poor
brw_1b1620dc0f9f,borrowerb0df5a20@example.net,2025-07-04,Excellent
brw_a7a2b78f1b5a,borrowerf50a5dee@example.net,2025-05-18,Good
brw_db569c54b672,borrower1fc6fb0a@example.net,2026-02-13,Fair
brw_b87d03ae9cb9,borrower011a78de@example.net,2026-03-25,Excellent
brw_95c3f1744b1d,borrowerdef00e10@example.net,2025-06-16,Good
brw_ff6fad1a41ce,borrowercb76f7ed@example.net,2026-06-02,Fair
brw_eaadd51fca5d,borrower48dd2441@example.net,2026-04-11,Poor
brw_d3b84195951b,borrowerc2acde54@example.net,2025-10-07,Good
brw_258f4b737076,borrowere3026e41@example.net,2026-08-29,Poor
brw_03ae3e99c7cc,borrowere2286717@example.net,2026-07-20,Fair
brw_e47bc70ce610,borrowerfa603c4f@example.net,2026-02-02,Fair
brw_27b2a16aa030,borrower4739135d@example.net,2025-10-14,Fair
brw_cde5129737de,borrowerf0c2a257@example.net,2026-02-01,Fair
brw_7853b5fdc0c4,borrower5117a6a8@example.net,2026-07-18,Good
brw_5ab9f63fa801,borrowerbac61d1a@example.net,2025-10-13,Good
brw_8a8b7aa5b349,borrowerf66bddb4@example.net,2025-12-16,Good
brw_708fadd612a7,borrower3f37d508@example.net,2026-01-11,Good
brw_b4f192e50eb7,borrower884ea6d6@example.net,2025-09-07,Good
brw_fe71255e8536,borrower8f8c4ea4@example.net,2025-10-06,Good
brw_d5c8f6e6c239,borrowerd5dbe3a7@example.net,2026-05-18,Excellent
brw_03ad59ca9bb3,borrowerb545a69a@example.net,2026-06-10,Excellent
brw_e0f2c2ab2b45,borrower18436869@example.net,2026-01-09,Fair
brw_01bd07c9937e,borrower98d2a778@example.net,2026-06-13,Good
brw_3cbbc99f1d6c,borrower18b9a068@example.net,2026-02-04,Fair
brw_f4a9c583458a,borrower4d7b1396@example.net,2025-01-04,Fair
brw_7442ba90f5ff,borrower133956f3@example.net,2026-05-05,Excellent
brw_50417141baad,borrower6d4a7a24@example.net,2026-06-09,Good
brw_8d9cc9143abf,borrowerfff953a6@example.net,2026-06-15,Excellent
brw_b18dcd420b11,borrowerc1292166@example.net,2026-01-10,Good
brw_9242c4791e0b,borrower6c79a1b6@example.net,2025-01-10,Fair
brw_8693944b31e4,borrower2ce301b9@example.net,2025-10-09,Excellent
brw_649f71ec13ba,borrower247c6b85@example.net,2025-05-31,Good
brw_0e02f5285e45,borrower0d4f24a9@example.net,2025-05-27,Fair
brw_7a1dc1b208c6,borrower32543948@example.net,2026-02-11,Good
brw_3d8a5bc7d864,borrower69cc9344@example.net,2026-06-13,Excellent
brw_599484fa9b97,borrowera6ebc6ae@example.net,2025-03-08,Good
brw_c43e524e0531,borrower666d6b0d@example.net,2025-07-11,Good
brw_b7a872cce85a,borrower2f5726a5@example.net,2026-07-25,Fair
brw_b10c7add2267,borrower6e16749c@example.net,2026-08-02,Excellent
brw_94c51a5a90de,borrower43867486@example.net,2025-12-26,Good
brw_9b3a0d47f014,borrower285bde79@example.net,2024-11-13,Excellent
brw_2777999c4981,borrower124534a1@example.net,2025-08-25,Fair
brw_17d8e8dba0f3,borrower86b570f8@example.net,2025-08-05,Good
brw_2f7517a71d40,borrowerf6ee36ce@example.net,2026-01-16,Good
brw_3d0b5ae145f8,borrowerb8814e94@example.net,2026-02-24,Poor
brw_4e7750171ac8,borrower568fb881@example.net,2024-11-28,Good
brw_24592950f550,borrower55d05627@example.net,2025-11-24,Fair
brw_00a85eb0cd6b,borrower7da78318@example.net,2025-09-11,Poor
brw_273dc22d4770,borrower39f535dd@example.net,2026-06-04,Good
brw_65026c490325,borrowera049842f@example.net,2025-11-01,Good
brw_27cf77636472,borrower00219c02@example.net,2026-06-17,Excellent
brw_7ee832d1003f,borrower42f22303@example.net,2026-09-09,Good
brw_a22b242688bb,borrowerccda6a2f@example.net,2025-12-09,Good
brw_25f94e262d9f,borrower503ce676@example.net,2026-05-26,Fair
brw_53043bdfb7fc,borrowera55882d7@example.net,2025-10-06,Good
brw_f2dfde0b5ef7,borrower0fc63bac@example.net,2025-10-16,Poor
brw_d9b256bdbf09,borrower5ffa6dbc@example.net,2025-08-08,Fair
brw_b0cd8120eb25,borrower64dd86f3@example.net,2025-11-01,Poor
brw_858bf16c4382,borrower27bb1bf3@example.net,2026-03-04,Fair
brw_3296b33514e9,borrower79e815c6@example.net,2025-11-09,Poor
brw_4f18f97f9df8,borrower4e6de927@example.net,2025-07-08,Excellent
brw_7c7bcafeabea,borrowerd0bbaa11@example.net,2026-06-20,Good
brw_4eb906c4a586,borrowerad5eefef@example.net,2025-09-05,Fair
brw_524a6c73c2e9,borrower4275abd8@example.net,2026-05-02,Excellent
brw_978569c1a161,borrowerd6dfe87f@example.net,2025-10-15,Fair
brw_d86c24da8298,borrower32d22cf9@example.net,2025-03-06,Fair
brw_4b8ab17d0ef1,borrowera0103792@example.net,2026-01-30,Excellent
brw_cd6845fd2e4d,borrower1f8df21c@example.net,2026-08-09,Good
brw_2f4fa607e102,borrower00ee9550@example.net,2026-04-18,Good
brw_a393d9055951,borrower6b874309@example.net,2026-07-18,Poor
brw_44f71dcfdd77,borroweraf627f8a@example.net,2025-06-30,Fair
brw_f99bce39e808,borrower35b55d6e@example.net,2025-02-22,Poor
brw_e9a48b31aee7,borrower33303a2e@example.net,2025-10-25,Good
brw_8550d7b9e615,borrowere4098086@example.net,2026-08-09,Fair
brw_2f1f28e22098,borrower0743b970@example.net,2026-02-10,Fair
brw_51908306b2fb,borrower61c0126d@example.net,2025-04-10,Good
brw_a149c74ae90b,borrower0eb586d3@example.net,2025-12-14,Fair
brw_c073a0819ee6,borrower1fe293b7@example.net,2026-01-31,Excellent
brw_43001b21005f,borrower95240057@example.net,2026-04-07,Good
brw_a8487c0b361a,borrowerc4805a75@example.net,2025-10-26,Poor
brw_545b594f02b3,borrower7b2fa4bf@example.net,2026-04-15,Fair
brw_29befa33f1b8,borrower89eaa180@example.net,2026-05-03,Poor
brw_a37000a87cb0,borrower1cc59c43@example.net,2025-07-18,Fair
brw_394e08a858c3,borrowerdf783a23@example.net,2026-02-18,Good
brw_dad1c3fd1f44,borrower1e3b7fe1@example.net,2026-04-18,Poor
brw_a38180584a6a,borrowera670e141@example.net,2026-03-13,Fair
brw_60004dafe93b,borrowerbb11f3a5@example.net,2024-12-05,Fair
brw_cc09e81e8672,borrower12bec708@example.net,2026-01-05,Good
brw_ff1bf571f657,borrowerd9e79903@example.net,2026-06-12,Good
brw_ba0a5b240abf,borrower36999445@example.net,2025-08-31,Fair
brw_b690cd88e7ac,borrower65d32fa2@example.net,2025-08-28,Good
brw_45e4a9e5f1c5,borrower2c64d56f@example.net,2026-01-02,Poor
